Repository,IssueTotalCount,PrTotalCount,CommitTotalCount,DaysOpen,AverageIssueCountPerDay,AveragePrCountPerDay,AverageCommitCountPerDay,DefaultBranchName
EDUC-PEN-REPORT-GENERATION-API,2,15,85,96,0.02,0.16,0.88,main
smk-helms,2,5,24,96,0.02,0.05,0.25,master
orgbook-bc-client,6,6,31,95,0.06,0.06,0.33,main
orgbook-on-client,0,7,27,95,0,0.07,0.28,main
ets-cpf-ea-onboarding,2,1,89,92,0.02,0.01,0.96,master
citz-imb-sp-restapi,2,3,9,91,0.02,0.03,0.1,main
transportation-datascience-sandbox,2,1,4,90,0.02,0.01,0.04,main
smk-actions,2,6,35,89,0.02,0.07,0.39,main
jag-rsbc-nextcloud,2,1,4,89,0.02,0.01,0.04,main
Teams-FAQ-Bot,2,3,66,89,0.02,0.03,0.74,main
cloud-custodian-policies,2,4,75,89,0.02,0.04,0.84,main
ppr,2,46,141,86,0.02,0.53,1.63,main
registry-schemas,2,6,13,86,0.02,0.07,0.15,main
EDUC-PEN-REPLICATION-API,2,3,67,86,0.02,0.03,0.78,main
material-table,0,1,1573,85,0,0.01,18.39,master
aries-vcr-issuer-agency,5,3,38,85,0.06,0.04,0.45,main
GDX-Analytics-microservice,2,15,54,83,0.02,0.18,0.65,main
nrm-ea-onboarding,2,1,90,82,0.02,0.01,1.09,master
dip-metadata-viewer,0,2,33,79,0,0.03,0.42,main
bc_dtm_testing,10,1,16,78,0.13,0.01,0.2,main
court-of-appeal,2,12,1336,78,0.03,0.15,17.03,main
nr-rfc-processing,3,4,72,77,0.04,0.05,0.93,dev
networkpolicy-migration-workshop,4,8,30,76,0.05,0.1,0.39,main
MOH-IAM-Enrolment,2,15,55,76,0.03,0.2,0.72,main
nr-rfc-ensweather,4,9,207,76,0.05,0.12,2.72,dev
representation-grant-app,2,69,1448,75,0.03,0.91,19.12,main
economic_recovery_indicators,2,0,53,75,0.03,0,0.7,main
geodock,0,3,65,75,0,0.04,0.86,master
Distributed-Leader-ToolKit,2,3,8,75,0.03,0.04,0.11,main
access-to-technology,2,26,85,72,0.03,0.36,1.18,main
Mautic-Openshift,2,13,111,71,0.03,0.18,1.56,main
EDUC-FSA-ILR,2,1,3,70,0.03,0.01,0.04,main
mds-startup-sample-project,2,1,91,69,0.03,0.01,1.31,master
citz-imb-sp-gdx-bif,2,23,7,68,0.03,0.34,0.1,main
discover-camping,2,4,20,62,0.03,0.06,0.32,main
smk-moh-mhsu,2,1,3,62,0.03,0.02,0.05,main
ised-business-banking-initiative,6,11,53,62,0.1,0.18,0.85,main
dbutils,2,2,26,61,0.03,0.03,0.42,main
CCISS_ShinyApp,25,7,101,61,0.41,0.11,1.64,main
moh-ldap-service,2,3,15,61,0.03,0.05,0.24,main
eco-info,4,3,51,61,0.07,0.05,0.83,main
EDUC-TRAX-NOTIFICATION-API,2,2,31,58,0.03,0.03,0.53,main
digital_talent,4,1,1,57,0.07,0.02,0.02,main
moh-iam-sf,2,2,1,57,0.03,0.03,0.02,main
SBC-AUTH-Service,2,1,1,56,0.04,0.02,0.02,main
css-job-scheduling,2,2,1,56,0.04,0.04,0.02,master
EDUC-GRAD-BATCH-GRADUATION-API,2,13,32,56,0.04,0.23,0.57,main
common-lib-vue,2,8,47,54,0.04,0.15,0.86,main
groundwater-level-review-report,2,1,9,49,0.04,0.02,0.18,main
identity-kit-configurations,2,3,1,49,0.04,0.06,0.02,main
aps-testing,2,1,9,48,0.04,0.02,0.19,main
jag-github-templates,2,1,1,46,0.04,0.02,0.02,main
BCP-CMS,2,54,405,43,0.05,1.25,9.34,main
platform-services-edb-template,2,1,9,42,0.05,0.02,0.21,main
jag-mail-it,2,19,20,40,0.05,0.47,0.49,main
EDUC-PEN-API-GATEWAY,2,0,15,38,0.05,0,0.39,main
mtc-scripts,2,4,29,36,0.06,0.11,0.8,master
mhsu-broker,2,4,121,35,0.06,0.11,3.41,dev
elmsd-workbc-comms,2,1,13,35,0.06,0.03,0.37,main
nr-lidar-viewer,2,1,1,35,0.06,0.03,0.03,main
vue-test-utils-helpers,0,1,17,34,0,0.03,0.5,bcgov
github-optimization,12,8,187,30,0.39,0.26,6.12,main
cas-onboarding,0,5,5,28,0,0.18,0.18,main
platform-services-requestron,2,1,5,26,0.08,0.04,0.19,main
dts-vc-issuer-service,13,53,233,24,0.53,2.17,9.53,dev
platform-services-template,2,1,5,21,0.09,0.05,0.23,main
nr-playbook,2,0,7,15,0.13,0,0.46,master
b2b-credential-manager,0,11,669,14,0,0.76,46.32,main
platform-services-archeobot,2,1,1,14,0.14,0.07,0.07,main
cas-payment-interface,2,0,4,13,0.15,0,0.3,master
nr-flnr-ecas-processing,2,1,5,12,0.16,0.08,0.4,main
PECSF,2,0,2,9,0.21,0,0.21,master
cmip6-BC-eval,3,1,3,9,0.32,0.11,0.32,main
bcregistry-sre,2,3,3,8,0.23,0.35,0.35,main
jason-test-delete-me,2,2,3,8,0.24,0.24,0.35,main
foi-flow,2,1,1,7,0.27,0.13,0.13,main
EDUC-PEN-CONSUMER-API,2,1,3,0,5.31,2.65,7.96,main
