Repository,IssueTotalCount,DaysOpen,AverageIssueCountPerDay
devhub-resources,20,825,0.02
GB_Mortality,2,821,0
teis-utilities,3,821,0
postman-bdd,0,820,0
wetlandmapR,20,819,0.02
chimp,2,819,0
FAIB,2,819,0
ckan-bcgov-terraform,2,817,0
docker-clamav,0,816,0
foi-requests,7,816,0.01
pdfmagic,1,813,0
ts-rs-modis-snow,3,813,0
lear,18,812,0.02
sbc-pay,8,811,0.01
sbc-auth,5,811,0.01
invasive-species-system-build,3,811,0
digital-gov,30,810,0.04
GB_DNA,2,804,0
GB_Salmon,1,802,0
data-stream,3,802,0
popApp,5,800,0.01
air-zone-reports,5,797,0.01
bcgov-looker-snowplow,1,790,0
eao-inspections-evidence-locker,2,789,0
nr-messaging-service-showcase,3,789,0
nr-document-management-showcase,2,789,0
document-generation-showcase,2,789,0
FADM_Edit_Workflows,2,788,0
GDX-Analytics-Looker-Google-Block,2,786,0
GDX-Analytics-OpenShift-Snowplow-Gateway-Service,3,786,0
embc-ess,2,785,0
statscan-taxdata-tidying,14,784,0.02
TransAction,3,784,0
Project-and-time-tracker,4,784,0.01
moh-sitereg,2,782,0
landuseplanning-admin,3,777,0
landuseplanning-public,3,777,0
landuseplanning-api,2,777,0
CaribouBC,7,776,0.01
imit-procurement-data-analysis,3,776,0
ckanext-sso,3,776,0
ckan-ui,308,775,0.4
smk-francophone,3,770,0
csv-to-api,0,768,0
shinyrems,116,768,0.15
lngcanada-admin,3,768,0
lngcanada-api,2,768,0
lngcanada-public,3,768,0
GDX-Analytics-Looker-theq_sdpr_block,2,762,0
jag-spd-spice,3,760,0
iamp-maven-resources,2,759,0
bcgov-data-science-cop,5,755,0.01
range-dashboard-ios,1,754,0
nr-get-token,72,753,0.1
SharePoint_Solutions,0,750,0
bc-econ-status-indices,4,749,0.01
CITZ-IMB-SharePoint,18,749,0.02
realm-o-matic,44,748,0.06
jag-rsbc-carma,2,743,0
site-inspections-app-ios,1,743,0
cas-ggircs,0,741,0
indy-email-verification,11,740,0.01
agri-dcbr,3,737,0
cas-docker-sqitch,0,737,0
lucy-web,510,735,0.69
iiwbook,7,733,0.01
mobile-starter-kit,11,727,0.02
Agile-Delivery-Process,7,726,0.01
flatfile-tools,3,726,0
cas-metabase,2,725,0
GDX-Analytics-Drupal-Snowplow,2,721,0
healthgateway,3,715,0
aqadvisories-eservice,2,714,0
sbc-common-components,4,714,0.01
bcdc-test,2,708,0
pssg-cornet-dynamics,0,707,0
goshawk-ios,2,705,0
sae-workbench,16,700,0.02
Skeena_WB,2,700,0
cas-ggircs-metabase,0,700,0
cas-ggircs-metabase-builder,1,699,0
EDUC-UMU,10,698,0.01
bc_snow_ops,0,697,0
ExchangeLabOps,8,696,0.01
pssg-cornet-dynamics-config,2,694,0
pssg-cornet-dynamics-queue-proc,2,694,0
EDUC-CAPS,3,694,0
sk_tda,3,693,0
eForWasteBC,1,691,0
rems2aquachem,0,687,0
api-guidelines,18,686,0.03
ckanext-edc-rss,2,686,0
recycling-indicator,2,685,0
iamp-email-service,2,685,0
iamp-mq-component,2,685,0
gis-pantry,22,684,0.03
EDUC-DIGITALID-API,2,683,0
envair,6,680,0.01
bcca-payment-hub,3,678,0
von-oil-gas-poc,2,677,0
eagle-helper-pods,2,674,0
nr-email-microservice,2,674,0
pssg-cornet-dynamics-end2end-service,1,672,0
digital-lakes,2,671,0
nmp-arm,3,670,0
pssg-cornet-dynamics-queue-proc-rabbitmq,2,669,0
aries-vcr-issuer-controller,9,665,0.01
EDUC-CURRICWS,3,665,0
skeena-ogma-amendments-assessment,1,665,0
cas-shipit,3,664,0
forestry-quarterly-report,1,663,0
jrcc-document-access-libs,15,663,0.02
jag-isb-devorg,2,663,0
ranktrends,7,663,0.01
pssg-cordyn-management-console,2,658,0
pssg-cordyn-rabbitmq-interface-controller,2,658,0
AGOL_getMapFromApp,1,658,0
AGOL_getSizeFromGroup,1,658,0
FAIBOracle,2,658,0
forestDroughtTool,2,658,0
FAIBCompiler,2,657,0
FAIBBase,2,657,0
eagle-dev-guides,2,657,0
cloud-adoption-patterns,3,657,0
cas-postgres,4,657,0.01
GDX-Analytics-Looker-Google-MyBusiness,2,651,0
eagle-reports,2,645,0
EDUC-ISFS,3,645,0
EDUC-STUDENTSUCCESS,3,644,0
vc-authn-oidc,44,643,0.07
iamp-apps-configs,2,642,0
bcparis-service,2,642,0
nr-showcase-devops-tools,3,641,0
nr-showcase-devops-tools-demo-sq,2,641,0
gatsby-source-matomo,3,641,0
jrcc-sample-app,2,639,0
rocketgate,5,638,0.01
gatsby-source-github-raw,2,635,0
native-species-rank-indicator,2,635,0
orgbook-configurations,19,634,0.03
cas-ggircs-ciip-2018-schema,4,632,0.01
cas-ciip-portal,6,631,0.01
fwben,138,630,0.22
drake-example,6,629,0.01
cas-pipeline,6,628,0.01
cas-metascript,2,628,0
bc-sans,4,628,0.01
ols-geocoder,203,627,0.32
forageConversionTool,6,623,0.01
cas-ggircs-metabase-build,3,622,0
aries-cloudagent-container,4,620,0.01
new2Q-reports,20,617,0.03
census_geography_bc,3,616,0
ols-util,3,615,0
GDX-Analytics-Looker-Google-MyBusiness-ServiceBC,2,615,0
cas-ggircs-ciip-2018-extract,4,613,0.01
common-hosted-email-service,2,613,0
bcparis-apps-configs,2,611,0
bcws-psu-research,118,611,0.19
eagle-common-components,2,610,0
searchgate,6,609,0.01
ocwa-file-scanner,2,608,0
EDUC-CURRI,2,608,0
url-filter-proxy,2,603,0
gitlab-keycloak-group-sync,2,603,0
asdm-postgres,2,603,0
git-sae-ops,2,603,0
digital-marketplace,2,602,0
von-bc-registries-agent-configurations,5,601,0.01
GDX-Analytics-Looker-CleanBC,2,593,0
law-society-demo,6,590,0.01
Skeena_ESI_Wetlands,2,590,0
cap-eagle-admin,2,589,0
cap-eagle-public,2,589,0
cap-eagle-dev-guides,2,589,0
cap-eagle-api,2,589,0
ckanext-bcgov-schema,2,589,0
cap-eagle-helper-pods,2,589,0
EDUC-PASS,2,587,0
ds-cop-intro-to-r,5,587,0.01
moh-prime,4,582,0.01
docugate,2,574,0
aries-cloudcontroller-node,7,574,0.01
fams3,2,573,0
bcgov-r-geo-workshop,28,571,0.05
ExitSurveyAdmin,151,571,0.26
